Column 1,Column 2,Column 3,Column 4,Column 5
X,CH 1,CH 2,Start,Increment
µs, V, V,-3.000000e-03,5.000000e-06
-7497.915273,5.60,0.40,,
-7495.915029,5.60,0.40,,
-7493.914785,5.40,0.40,,
-7491.914540,0.00,5.60,,
-7489.914296,0.20,5.40,,
-7487.914052,0.20,5.40,,
-7485.913808,0.20,5.40,,
-7483.913564,0.20,5.40,,
-7481.913319,0.20,5.40,,
-7479.913075,0.20,5.40,,
-7477.912831,0.20,5.40,,
-7475.912587,0.40,5.40,,
-7473.912343,0.20,5.40,,
-7471.912099,0.20,5.40,,
-7469.911854,0.20,5.40,,
-7467.911610,0.40,5.40,,
-7465.911366,0.20,5.40,,
-7463.911122,0.20,5.40,,
-7461.910878,0.40,5.40,,
-7459.910634,0.40,5.40,,
-7457.910389,0.40,5.40,,
-7455.910145,0.20,5.40,,
-7453.909901,0.40,5.40,,
-7451.909657,0.20,5.40,,
-7449.909413,0.40,5.40,,
-7447.909169,0.20,5.20,,
-7445.908924,0.40,5.40,,
-7443.908680,0.40,5.40,,
-7441.908436,0.20,5.60,,
-7439.908192,0.20,5.40,,
-7437.907948,0.40,5.40,,
-7435.907704,0.20,5.40,,
-7433.907459,0.40,5.40,,
-7431.907215,0.20,5.40,,
-7429.906971,0.20,5.40,,
-7427.906727,0.40,5.40,,
-7425.906483,0.40,5.40,,
-7423.906239,0.40,5.40,,
-7421.905994,0.40,5.20,,
-7419.905750,0.20,5.40,,
-7417.905506,0.40,5.40,,
-7415.905262,0.20,5.40,,
-7413.905018,0.40,5.40,,
-7411.904774,0.40,5.40,,
-7409.904529,0.40,5.40,,
-7407.904285,0.20,5.40,,
-7405.904041,0.40,5.40,,
-7403.903797,0.40,5.40,,
-7401.903553,0.40,5.20,,
-7399.903309,0.40,5.40,,
-7397.903064,0.40,5.40,,
-7395.902820,0.40,5.40,,
-7393.902576,0.40,5.40,,
-7391.902332,0.40,5.40,,
-7389.902088,0.40,5.40,,
-7387.901843,0.20,5.40,,
-7385.901599,0.40,5.40,,
-7383.901355,0.40,5.40,,
-7381.901111,0.40,5.20,,
-7379.900867,0.40,5.40,,
-7377.900623,0.40,5.40,,
-7375.900378,0.40,5.40,,
-7373.900134,0.40,5.40,,
-7371.899890,0.40,5.40,,
-7369.899646,0.20,5.40,,
-7367.899402,0.20,5.40,,
-7365.899158,0.40,5.20,,
-7363.898913,0.20,5.40,,
-7361.898669,0.40,5.40,,
-7359.898425,0.40,5.40,,
-7357.898181,0.20,5.40,,
-7355.897937,0.40,5.40,,
-7353.897693,0.20,5.40,,
-7351.897448,0.40,5.40,,
-7349.897204,0.40,5.40,,
-7347.896960,0.40,5.40,,
-7345.896716,0.40,5.20,,
-7343.896472,0.40,5.40,,
-7341.896228,0.40,5.40,,
-7339.895983,0.20,5.40,,
-7337.895739,0.40,5.40,,
-7335.895495,0.40,5.40,,
-7333.895251,0.40,5.40,,
-7331.895007,0.40,5.40,,
-7329.894763,0.40,5.40,,
-7327.894518,0.40,5.40,,
-7325.894274,0.20,5.40,,
-7323.894030,0.40,5.40,,
-7321.893786,0.20,5.40,,
-7319.893542,0.20,5.40,,
-7317.893298,0.40,5.40,,
-7315.893053,0.20,5.20,,
-7313.892809,0.20,5.40,,
-7311.892565,0.20,5.40,,
-7309.892321,0.40,5.40,,
-7307.892077,0.40,5.40,,
-7305.891832,0.40,5.40,,
-7303.891588,0.40,5.40,,
-7301.891344,0.20,5.40,,
-7299.891100,0.40,5.40,,
-7297.890856,0.40,5.40,,
-7295.890612,0.40,5.40,,
-7293.890367,0.40,5.40,,
-7291.890123,0.20,5.40,,
-7289.889879,0.40,5.40,,
-7287.889635,0.40,5.40,,
-7285.889391,0.40,5.40,,
-7283.889147,0.40,5.40,,
-7281.888902,0.20,5.40,,
-7279.888658,0.40,5.40,,
-7277.888414,0.40,5.40,,
-7275.888170,0.20,5.40,,
-7273.887926,0.40,5.40,,
-7271.887682,0.40,5.40,,
-7269.887437,0.40,5.40,,
-7267.887193,0.40,5.40,,
-7265.886949,0.20,5.40,,
-7263.886705,0.20,5.40,,
-7261.886461,0.40,5.40,,
-7259.886217,0.40,5.40,,
-7257.885972,0.40,5.40,,
-7255.885728,0.40,5.40,,
-7253.885484,0.40,5.40,,
-7251.885240,0.20,5.40,,
-7249.884996,0.40,5.40,,
-7247.884752,0.20,5.40,,
-7245.884507,0.40,5.40,,
-7243.884263,0.20,5.40,,
-7241.884019,0.20,5.40,,
-7239.883775,0.40,5.40,,
-7237.883531,0.20,5.40,,
-7235.883287,0.40,5.40,,
-7233.883042,0.40,5.40,,
-7231.882798,0.40,5.60,,
-7229.882554,0.40,5.40,,
-7227.882310,0.40,5.40,,
-7225.882066,0.20,5.40,,
-7223.881822,0.40,5.40,,
-7221.881577,0.40,5.40,,
-7219.881333,0.20,5.40,,
-7217.881089,0.40,5.40,,
-7215.880845,0.40,5.20,,
-7213.880601,0.40,5.40,,
-7211.880356,0.40,5.40,,
-7209.880112,0.40,5.40,,
-7207.879868,0.20,5.40,,
-7205.879624,0.40,5.40,,
-7203.879380,0.40,5.40,,
-7201.879136,0.20,5.40,,
-7199.878891,0.40,5.40,,
-7197.878647,0.40,5.40,,
-7195.878403,0.40,5.40,,
-7193.878159,0.20,5.40,,
-7191.877915,0.40,5.40,,
-7189.877671,0.40,5.40,,
-7187.877426,0.40,5.40,,
-7185.877182,0.40,5.40,,
-7183.876938,0.40,5.40,,
-7181.876694,0.20,5.20,,
-7179.876450,0.40,5.40,,
-7177.876206,0.40,5.40,,
-7175.875961,0.40,5.40,,
-7173.875717,0.40,5.40,,
-7171.875473,0.40,5.40,,
-7169.875229,0.40,5.40,,
-7167.874985,0.40,5.40,,
-7165.874741,0.40,5.40,,
-7163.874496,0.20,5.40,,
-7161.874252,0.40,5.40,,
-7159.874008,0.40,5.40,,
-7157.873764,0.40,5.40,,
-7155.873520,0.40,5.40,,
-7153.873276,0.40,5.40,,
-7151.873031,0.40,5.40,,
-7149.872787,0.40,5.40,,
-7147.872543,0.20,5.40,,
-7145.872299,0.20,5.40,,
-7143.872055,0.40,5.40,,
-7141.871811,0.40,5.40,,
-7139.871566,0.40,5.20,,
-7137.871322,0.40,5.40,,
-7135.871078,0.40,5.40,,
-7133.870834,0.40,5.40,,
-7131.870590,0.40,5.40,,
-7129.870346,0.40,5.40,,
-7127.870101,0.20,5.40,,
-7125.869857,0.20,5.40,,
-7123.869613,0.40,5.40,,
-7121.869369,0.40,5.20,,
-7119.869125,0.40,5.40,,
-7117.868880,0.20,5.40,,
-7115.868636,0.40,5.40,,
-7113.868392,0.40,5.40,,
-7111.868148,0.40,5.40,,
-7109.867904,0.20,5.20,,
-7107.867660,0.40,5.40,,
-7105.867415,0.40,5.40,,
-7103.867171,0.40,5.40,,
-7101.866927,0.40,5.40,,
-7099.866683,0.40,5.40,,
-7097.866439,0.40,5.40,,
-7095.866195,0.40,5.40,,
-7093.865950,0.20,5.40,,
-7091.865706,0.40,5.40,,
-7089.865462,0.60,5.40,,
-7087.865218,0.40,5.40,,
-7085.864974,0.20,5.40,,
-7083.864730,0.20,5.40,,
-7081.864485,0.40,5.40,,
-7079.864241,0.40,5.40,,
-7077.863997,0.40,5.40,,
-7075.863753,0.20,5.40,,
-7073.863509,0.40,5.40,,
-7071.863265,0.40,5.40,,
-7069.863020,0.40,5.40,,
-7067.862776,0.40,5.40,,
-7065.862532,0.40,5.40,,
-7063.862288,0.40,5.20,,
-7061.862044,0.40,5.40,,
-7059.861800,0.40,5.40,,
-7057.861555,0.40,5.40,,
-7055.861311,0.20,5.40,,
-7053.861067,0.40,5.40,,
-7051.860823,0.40,5.40,,
-7049.860579,0.40,5.20,,
-7047.860335,0.20,5.40,,
-7045.860090,0.40,5.20,,
-7043.859846,0.40,5.40,,
-7041.859602,0.40,5.40,,
-7039.859358,0.20,5.40,,
-7037.859114,0.20,5.40,,
-7035.858869,0.40,5.20,,
-7033.858625,0.20,5.40,,
-7031.858381,0.40,5.40,,
-7029.858137,0.40,5.40,,
-7027.857893,0.40,5.40,,
-7025.857649,0.40,5.40,,
-7023.857404,0.40,5.40,,
-7021.857160,0.20,5.40,,
-7019.856916,0.20,5.40,,
-7017.856672,0.40,5.40,,
-7015.856428,0.20,5.40,,
-7013.856184,0.20,5.40,,
-7011.855939,0.40,5.40,,
-7009.855695,0.40,5.40,,
-7007.855451,0.40,5.40,,
-7005.855207,0.40,5.40,,
-7003.854963,0.40,5.40,,
-7001.854719,0.40,5.40,,
-6999.854474,0.40,5.40,,
-6997.854230,0.40,5.40,,
-6995.853986,0.20,5.40,,
-6993.853742,0.40,5.40,,
-6991.853498,6.00,0.20,,
-6989.853254,5.60,0.40,,
-6987.853009,5.60,0.40,,
-6985.852765,5.80,0.40,,
-6983.852521,5.60,0.40,,
-6981.852277,5.60,0.40,,
-6979.852033,5.60,0.40,,
-6977.851789,5.60,0.40,,
-6975.851544,5.60,0.40,,
-6973.851300,5.60,0.40,,
-6971.851056,5.60,0.40,,
-6969.850812,5.60,0.40,,
-6967.850568,5.40,0.40,,
-6965.850324,5.60,0.40,,
-6963.850079,5.40,0.40,,
-6961.849835,5.80,0.40,,
-6959.849591,5.40,0.40,,
-6957.849347,5.40,0.40,,
-6955.849103,5.60,0.40,,
-6953.848859,5.60,0.40,,
-6951.848614,5.60,0.40,,
-6949.848370,5.60,0.40,,
-6947.848126,5.60,0.40,,
-6945.847882,5.40,0.40,,
-6943.847638,5.60,0.40,,
-6941.847393,5.60,0.40,,
-6939.847149,5.60,0.40,,
-6937.846905,5.60,0.40,,
-6935.846661,5.60,0.40,,
-6933.846417,5.60,0.40,,
-6931.846173,5.60,0.40,,
-6929.845928,5.60,0.40,,
-6927.845684,5.60,0.20,,
-6925.845440,5.40,0.40,,
-6923.845196,5.60,0.40,,
-6921.844952,5.60,0.40,,
-6919.844708,5.60,0.40,,
-6917.844463,5.60,0.40,,
-6915.844219,5.40,0.40,,
-6913.843975,5.60,0.40,,
-6911.843731,5.60,0.40,,
-6909.843487,5.60,0.40,,
-6907.843243,5.60,0.40,,
-6905.842998,5.60,0.40,,
-6903.842754,5.60,0.40,,
-6901.842510,5.60,0.40,,
-6899.842266,5.60,0.40,,
-6897.842022,5.60,0.40,,
-6895.841778,5.40,0.40,,
-6893.841533,5.60,0.40,,
-6891.841289,5.60,0.40,,
-6889.841045,5.60,0.40,,
-6887.840801,5.60,0.40,,
-6885.840557,5.60,0.40,,
-6883.840313,5.40,0.40,,
-6881.840068,5.40,0.40,,
-6879.839824,5.40,0.40,,
-6877.839580,5.60,0.40,,
-6875.839336,5.60,0.40,,
-6873.839092,5.60,0.40,,
-6871.838848,5.40,0.40,,
-6869.838603,5.60,0.40,,
-6867.838359,5.60,0.40,,
-6865.838115,5.60,0.40,,
-6863.837871,5.60,0.40,,
-6861.837627,5.60,0.40,,
-6859.837382,5.60,0.40,,
-6857.837138,5.60,0.40,,
-6855.836894,5.60,0.40,,
-6853.836650,5.60,0.40,,
-6851.836406,5.40,0.40,,
-6849.836162,5.60,0.40,,
-6847.835917,5.40,0.40,,
-6845.835673,5.40,0.40,,
-6843.835429,5.60,0.40,,
-6841.835185,5.60,0.40,,
-6839.834941,5.60,0.40,,
-6837.834697,5.60,0.20,,
-6835.834452,5.40,0.40,,
-6833.834208,5.60,0.40,,
-6831.833964,5.60,0.40,,
-6829.833720,5.60,0.40,,
-6827.833476,5.40,0.40,,
-6825.833232,5.60,0.40,,
-6823.832987,5.60,0.40,,
-6821.832743,5.60,0.40,,
-6819.832499,5.60,0.40,,
-6817.832255,5.40,0.40,,
-6815.832011,5.60,0.40,,
-6813.831767,5.40,0.40,,
-6811.831522,5.60,0.40,,
-6809.831278,5.40,0.40,,
-6807.831034,5.60,0.40,,
-6805.830790,5.60,0.40,,
-6803.830546,5.60,0.40,,
-6801.830302,5.60,0.40,,
-6799.830057,5.40,0.40,,
-6797.829813,5.40,0.40,,
-6795.829569,5.60,0.40,,
-6793.829325,5.40,0.40,,
-6791.829081,5.60,0.40,,
-6789.828837,5.60,0.40,,
-6787.828592,5.60,0.40,,
-6785.828348,5.60,0.40,,
-6783.828104,5.60,0.40,,
-6781.827860,5.60,0.40,,
-6779.827616,5.60,0.40,,
-6777.827372,5.60,0.40,,
-6775.827127,5.40,0.40,,
-6773.826883,5.60,0.40,,
-6771.826639,5.60,0.40,,
-6769.826395,5.60,0.40,,
-6767.826151,5.40,0.40,,
-6765.825906,5.60,0.40,,
-6763.825662,5.60,0.20,,
-6761.825418,5.40,0.40,,
-6759.825174,5.60,0.40,,
-6757.824930,5.60,0.40,,
-6755.824686,5.40,0.40,,
-6753.824441,5.60,0.40,,
-6751.824197,5.40,0.40,,
-6749.823953,5.60,0.40,,
-6747.823709,5.60,0.40,,
-6745.823465,5.60,0.40,,
-6743.823221,5.60,0.40,,
-6741.822976,5.60,0.40,,
-6739.822732,5.60,0.40,,
-6737.822488,5.60,0.40,,
-6735.822244,5.60,0.40,,
-6733.822000,5.60,0.40,,
-6731.821756,5.60,0.40,,
-6729.821511,5.40,0.40,,
-6727.821267,5.40,0.40,,
-6725.821023,5.80,0.40,,
-6723.820779,5.60,0.40,,
-6721.820535,5.60,0.40,,
-6719.820291,5.60,0.40,,
-6717.820046,5.60,0.40,,
-6715.819802,5.60,0.40,,
-6713.819558,5.60,0.40,,
-6711.819314,5.40,0.40,,
-6709.819070,5.40,0.40,,
-6707.818826,5.60,0.40,,
-6705.818581,5.40,0.40,,
-6703.818337,5.60,0.40,,
-6701.818093,5.60,0.40,,
-6699.817849,5.60,0.40,,
-6697.817605,5.60,0.40,,
-6695.817361,5.60,0.40,,
-6693.817116,5.60,0.40,,
-6691.816872,5.60,0.40,,
-6689.816628,5.60,0.40,,
-6687.816384,5.40,0.40,,
-6685.816140,5.60,0.40,,
-6683.815895,5.60,0.40,,
-6681.815651,5.60,0.40,,
-6679.815407,5.60,0.40,,
-6677.815163,5.60,0.40,,
-6675.814919,5.60,0.40,,
