Column 1,Column 2,Column 3,Column 4,Column 5
X,CH 1,CH 2,Start,Increment
µs, V, V,-3.000000e-03,5.000000e-06
-7281.888902,-4.60,5.00,,
-7279.888658,-4.60,5.00,,
-7277.888414,-4.60,5.00,,
-7275.888170,-4.60,5.00,,
-7273.887926,-4.60,5.00,,
-7271.887682,-4.60,5.00,,
-7269.887437,-4.60,4.80,,
-7267.887193,-4.60,5.00,,
-7265.886949,-4.60,4.80,,
-7263.886705,-4.60,5.00,,
-7261.886461,-4.60,5.00,,
-7259.886217,-4.60,5.00,,
-7257.885972,-4.60,5.00,,
-7255.885728,-4.60,4.80,,
-7253.885484,-4.60,5.00,,
-7251.885240,-4.60,5.00,,
-7249.884996,-4.60,4.80,,
-7247.884752,-4.80,5.00,,
-7245.884507,-4.60,4.80,,
-7243.884263,-4.60,4.80,,
-7241.884019,-4.60,5.00,,
-7239.883775,-4.60,5.00,,
-7237.883531,-4.60,5.00,,
-7235.883287,-4.60,4.80,,
-7233.883042,-4.60,5.00,,
-7231.882798,-4.60,4.80,,
-7229.882554,-4.60,4.80,,
-7227.882310,-4.60,5.00,,
-7225.882066,-4.60,4.80,,
-7223.881822,-4.60,4.80,,
-7221.881577,-4.60,4.80,,
-7219.881333,-4.60,5.00,,
-7217.881089,-4.60,5.00,,
-7215.880845,-4.60,5.00,,
-7213.880601,-4.60,4.80,,
-7211.880356,-4.60,5.00,,
-7209.880112,-4.60,4.80,,
-7207.879868,-4.60,5.00,,
-7205.879624,-4.60,4.80,,
-7203.879380,-4.60,4.80,,
-7201.879136,-4.60,5.00,,
-7199.878891,-4.60,5.00,,
-7197.878647,-4.60,4.80,,
-7195.878403,-4.60,4.80,,
-7193.878159,-4.60,5.00,,
-7191.877915,-4.80,5.00,,
-7189.877671,-4.60,4.80,,
-7187.877426,-4.60,4.80,,
-7185.877182,-4.60,5.00,,
-7183.876938,-4.60,4.80,,
-7181.876694,-4.60,4.80,,
-7179.876450,-4.60,4.80,,
-7177.876206,-4.60,4.80,,
-7175.875961,-4.60,4.80,,
-7173.875717,-4.60,4.80,,
-7171.875473,-4.60,4.80,,
-7169.875229,-4.60,4.80,,
-7167.874985,-4.60,4.80,,
-7165.874741,-4.60,4.80,,
-7163.874496,-4.60,5.00,,
